1.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00
8.207182772366978796e-01 3.941781717813301888e+00 1.000000000000000000e+00
7.482261224295515545e-01 2.764398867620948330e+00 1.000000000000000000e+00
7.528482444438886478e-01 2.747277995556616226e+00 1.000000000000000000e+00
8.980611829559181913e-01 2.602626684351036612e+00 1.000000000000000000e+00
9.991011383562338199e-01 2.501026242093510543e+00 1.000000000000000000e+00
1.000025218857367726e+00 2.500010237670935442e+00 1.000000000000000000e+00
9.999986712204009809e-01 2.500001616307796493e+00 1.000000000000000000e+00
9.999999983103614598e-01 2.500001616307796493e+00 1.000000000000000000e+00
1.000000014997785458e+00 2.500001616307796493e+00 1.000000000000000000e+00
1.000000014997498132e+00 2.500001616307796493e+00 1.000000000000000000e+00
1.000000014997641795e+00 2.500001616307796493e+00 1.000000000000000000e+00
